bfs RESULTS           ,                       ,
depth                 ,expanded_nodes         ,max_fringe_size
11                    ,868                    ,918
9                     ,424                    ,433
5                     ,44                     ,48
5                     ,55                     ,68
7                     ,112                    ,136
7                     ,166                    ,175
7                     ,177                    ,191
9                     ,382                    ,387
13                    ,3364                   ,3334
5                     ,43                     ,56
7                     ,163                    ,171
7                     ,121                    ,144
1                     ,3                      ,5
9                     ,410                    ,417
5                     ,56                     ,69
3                     ,18                     ,22
3                     ,10                     ,15
3                     ,11                     ,17
7                     ,141                    ,149
3                     ,16                     ,18
3                     ,12                     ,15
7                     ,127                    ,141
7                     ,158                    ,179
9                     ,341                    ,373
7                     ,121                    ,144
7                     ,129                    ,142
13                    ,2030                   ,2188
7                     ,150                    ,154
5                     ,56                     ,69
7                     ,154                    ,175
7                     ,136                    ,146
5                     ,60                     ,70
5                     ,48                     ,51
7                     ,114                    ,135
13                    ,2149                   ,2283
7                     ,136                    ,146
9                     ,425                    ,451
11                    ,889                    ,943
5                     ,55                     ,68
5                     ,36                     ,42
11                    ,900                    ,937
15                    ,5410                   ,5610
11                    ,791                    ,851
5                     ,48                     ,51
13                    ,2951                   ,2988
13                    ,2750                   ,2819
11                    ,964                    ,1010
11                    ,1007                   ,1049
3                     ,11                     ,17
3                     ,14                     ,20
5                     ,60                     ,70
5                     ,44                     ,48
7                     ,168                    ,175
13                    ,3006                   ,3034
13                    ,2522                   ,2617
7                     ,112                    ,137
13                    ,2055                   ,2210
7                     ,148                    ,153
13                    ,2461                   ,2576
9                     ,319                    ,349
11                    ,1016                   ,1047
3                     ,10                     ,15
9                     ,353                    ,388
7                     ,179                    ,192
17                    ,19821                  ,17894
17                    ,16847                  ,15786
5                     ,36                     ,42
11                    ,1067                   ,1100
3                     ,12                     ,15
7                     ,114                    ,135
5                     ,44                     ,48
3                     ,12                     ,15
13                    ,2490                   ,2593
5                     ,54                     ,59
3                     ,14                     ,21
5                     ,43                     ,56
9                     ,441                    ,459
9                     ,489                    ,500
3                     ,16                     ,18
9                     ,356                    ,375
7                     ,163                    ,171
9                     ,429                    ,452
13                    ,3291                   ,3273
13                    ,2650                   ,2728
9                     ,420                    ,430
5                     ,56                     ,69
1                     ,2                      ,2
7                     ,168                    ,186
7                     ,168                    ,175
7                     ,158                    ,162
7                     ,141                    ,149
7                     ,141                    ,149
11                    ,1103                   ,1120
9                     ,326                    ,357
7                     ,112                    ,137
5                     ,60                     ,70
11                    ,817                    ,873
9                     ,402                    ,411
5                     ,36                     ,42
5                     ,48                     ,51
7                     ,112                    ,137
3                     ,14                     ,21
7                     ,143                    ,150
7                     ,168                    ,175
7                     ,141                    ,149
7                     ,143                    ,150
15                    ,8262                   ,7966
9                     ,413                    ,441
5                     ,59                     ,68
average depth         ,average expanded nodes ,average fringe size
7.708                 ,1100.202               ,1056.446
Deepening DFS RESULTS ,                       ,
depth                 ,expanded_nodes         ,max_fringe_size
13                    ,1057785                ,14
11                    ,107897                 ,12
9                     ,8627                   ,10
1                     ,3                      ,2
3                     ,19                     ,4
1                     ,2                      ,1
7                     ,1603                   ,8
7                     ,1735                   ,8
7                     ,1874                   ,8
7                     ,1154                   ,8
11                    ,94855                  ,12
5                     ,137                    ,6
1                     ,2                      ,1
7                     ,1454                   ,8
9                     ,13650                  ,10
11                    ,81331                  ,12
1                     ,3                      ,2
5                     ,137                    ,6
13                    ,469955                 ,14
7                     ,1735                   ,8
9                     ,13506                  ,10
3                     ,19                     ,4
9                     ,10247                  ,10
15                    ,5173202                ,16
11                    ,93617                  ,12
9                     ,12849                  ,10
11                    ,61934                  ,12
9                     ,13521                  ,10
15                    ,8462275                ,16
7                     ,2030                   ,8
9                     ,7337                   ,10
7                     ,1145                   ,8
7                     ,1543                   ,8
7                     ,2041                   ,8
5                     ,233                    ,6
5                     ,179                    ,6
9                     ,8633                   ,10
1                     ,2                      ,1
5                     ,174                    ,6
9                     ,16878                  ,10
11                    ,98503                  ,12
9                     ,16530                  ,10
7                     ,1073                   ,8
9                     ,13422                  ,10
7                     ,1913                   ,8
5                     ,210                    ,6
5                     ,233                    ,6
5                     ,263                    ,6
13                    ,1016873                ,14
5                     ,185                    ,6
7                     ,1682                   ,8
7                     ,1529                   ,8
15                    ,8486329                ,16
11                    ,127219                 ,12
3                     ,26                     ,4
13                    ,1023921                ,14
3                     ,25                     ,4
9                     ,8327                   ,10
9                     ,11502                  ,10
5                     ,137                    ,6
7                     ,1106                   ,8
9                     ,11202                  ,10
9                     ,15881                  ,10
15                    ,7876994                ,16
7                     ,962                    ,8
7                     ,2227                   ,8
7                     ,1267                   ,8
9                     ,11705                  ,10
3                     ,14                     ,4
9                     ,8430                   ,10
11                    ,132601                 ,12
7                     ,1651                   ,8
3                     ,26                     ,4
3                     ,14                     ,4
11                    ,89257                  ,12
7                     ,1922                   ,8
7                     ,1262                   ,8
13                    ,782418                 ,14
5                     ,137                    ,6
1                     ,2                      ,1
5                     ,210                    ,6
11                    ,93193                  ,12
7                     ,1106                   ,8
13                    ,987129                 ,14
13                    ,862929                 ,14
11                    ,135161                 ,12
3                     ,19                     ,4
5                     ,131                    ,6
7                     ,1735                   ,8
5                     ,185                    ,6
13                    ,963666                 ,14
11                    ,105902                 ,12
9                     ,13689                  ,10
7                     ,1073                   ,8
3                     ,31                     ,4
11                    ,93427                  ,12
11                    ,81326                  ,12
3                     ,26                     ,4
11                    ,78211                  ,12
7                     ,1457                   ,8
15                    ,5956615                ,16
9                     ,14003                  ,10
7                     ,1913                   ,8
3                     ,31                     ,4
