bfs RESULTS
depth,expanded_nodes,max_fringe_size
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
433,441,555
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
867,883,1105
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
59,61,79
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
433,441,555
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
401,409,515
0,0,0
433,441,555
0,0,0
0,0,0
61,63,81
0,0,0
0,0,0
0,0,0
29,31,41
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
29,31,41
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
833,853,1070
0,0,0
0,0,0
833,850,1066
0,0,0
833,853,1070
0,0,0
461,472,592
0,0,0
0,0,0
0,0,0
431,439,553
0,0,0
0,0,0
0,0,0
463,472,592
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
59,61,79
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
433,441,555
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
833,853,1070
0,0,0
431,439,553
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
897,916,1147
average depth,average expanded nodes,average fringe size
395.26666666666665,403.93333333333334,508.03333333333336
